,tweet,sarcastic
70, spiced coconut curry   a weekend spent with friends brings a week of content or something like that   started the weekend off with this yummy morsel with was a fusion of miso sesame aubergine  broccoli…,1
71,considering crowd surfing the next time the hallways are too packed,1
72,avoid mass gatherings does this mean that i can stay home tomorrow as i work at a school no i thought not schoolclosure,1
73,you know the wolves match is boring when you are talking with your mate about the best way to wire up his new shed,1
74,what a wonderful time to have your ac go out,1
75,riveting news,1
76,my extended fam was discussing going on a trip instead of getting presents for christmas like okay i’m bout it yeah they were talking about doing to the dells i’ll take my god damn presents thank you very much,1
77,okay but like the say so song ain’t that bad i’m unironically jam to it lmao,1
78,if you see me crying in the selfservice car wash in my rosati’s uniform no you didn’t ,1
79,tinnitus is my favourite thing ever i love it so loud so atmospheric,1
80,thanks for ratting my location out on stream and then embarrassing me  it made my day though,1
81,love living in a capitalist society where i look forward to getting a surgery where i’m legit getting an internal body part removed bc it means i’ll get a few days off from work xoxo,1
82,i love ingesting poison and then wondering why my tummy is rumbling the next morning,1
83,beautician and the beast 1997 best timothy dalton film of all time,1
84,ahahahaha the feeya i know and love miss u ,1
85,absolutely love waking up to the fire alarm at 7 am ,1
86,fully vaxxed feeling very girlboss,1
87,i feel like with the pandemic and all we should now be allowed to publicly shame babies for just like coughing into the open air you know what i mean,1
88,let me guess it has to be charlotte tilbury makeup and if by chance you do take it off use charlotte tilbury skincare,1
89,the typhoon flew over me today absolutely fuming they forgot to bomb me,1
90,love getting assignments at 625pm on a friday,1
91,raging debate on the importance of an orlando magic summer league championship definitely a notch below 6 if decided by coin flip,1
92,hot loli,1
93,between mikey cooking and didi cooking for me i relaxing  cooking i don’t know her,1
94,ah gotta love that friday morning burnt out feeling ,1
95,her family should definitely not seek mental health guidance ,1
96,how i flirt with boys boy “hey i saw you from across the room and had to come over” me “wow you’re super observant do you have 2020 vision”,1
97,been trying to get my boyfriends attention let’s see how long it takes for him to see this tweet tho,1
98,my work email isn’t working so i can just log off for the day right ,1
99,watching olympic womens beach volleyball for the plot,1
100,there’s no better way to wake up than having one dog jump directly on your stomach and knock the wind out of you while the other drop a dead rodent on the end of the bed ,1
101,cold ears take out one airpod leave it by the stove and forget about it for 20 minutes ,1
102,do the hokies really have to play 5 against 6 tonight come on stripes,1
103,fool me once shame on you fool me twice shame on me fool me multiple times i must have become a brexiter brexit,1
104,lucky for 2nd placed brentford that theres no stand out team like leeds this year or they might have no chance of winning the league ncfc,1
105,how do i get my boyfriend in a maid costume,1
106,if only he had a press corp in the houseoh wait shut up jr time to get fitted for those lovely orange jumpsuits if you can not be orange anymore at least you can wear it,1
107,wtf is a justin herbert,1
108,he is not welcome in a tolerant place like london on the presidential visit on the irony in that comment r4bh,1
109,i love it when drunk inconsiderate flatmates come back and start climbing on the roof istillhaveexams tryingtosleep,1
110,thinking about quitting the path im on to become a college advisor so i can be wrong and do nothing for the rest of my life,1
111,2 busy working 2 care,1
112,update they’ve finally closed the campus which means i wasted my day going in and waiting on lectures ,1
113,stop treating mars like a backup boyfriend just fix your current relationship with earth because you can not live here,1
114,i just don’t think it’s too much to have a perfect life with absolutely no problems ‍,1
115,the control button just fell off my laptop how symbolic for my life,1
116,make it illegal to saywrite dems in disarray on account of it being stupid as fuck,1
117,a level tudor history can do one,1
118,can not wait until i live to be 110 years old and i have people asking me how i have lived for such a long time so that i can make up some hyperspecific secret to longevity that people will inevitably follow,1
119,ugh i have to send an email how about i just quit,1
120,day 3 luggage arrived thanks non random hungarian underwear talk delivered science sated metaxa,1
121,went to check out the bios of the exclusively hipster dudes that work in a rival boutique goods store and found out they all traveled internationally during the pandemic ,1
122,so in other news i just held the door open for bam adebayo amp then i fell down the stairs amp i think i broke my finger ya i am that smooth,1
123,i can not believe today is the last day we can be gay,1
124,did you actually fly on a plane if you didn’t post a picture of the view from your window,1
125,seeing as kanye west has a range of clothing with gap how about me and you do a collab,1
126,i love jumping on zoom meetings where everyone is talking about their kids amp i am stuffing my face with taco bell,1
127,it’s always the girls i don’t even know that wanna talk about me 247  i love my fans ,1
128,thx for the play by play,1
129,who thinks me and sam should start a band called teeth at midnight ,1
130,omg there’s a sheet of ice in front of my school should i slip and fall,1
131,i wish that grilled cheese helped you get that summer bod,1
132,i called out an insta post for fat shaming and am now being told that making fun of someone having no neck is “not making fun of someone’s appearance”  the more you know guys,1
133,finally someone is speaking up for the billionaires,1
134,hasnt he opened a few new hospitals oh sorry maybe it was a new first aid box,1
135,yeah your girl is fine but does she pass out while giving blood,1
136,i recovered a repressed memory today of working at in high school 13 years ago amp having to answer the phone as “we go all out at kum amp go this is shelby how can i help you” and the prank calls that led to pretty sure kampg owe me therapy,1
137,accidentally made a friend in asl today i hate when that happens,1
138,few links for you to summarise wearing face masks seems to be more effective than not who woulda thunk,1
139,kind of rude of my stomach to still make whale noises after i’ve given it a whole protein bar,1
140,because of trump i now do not have to worry about other countries making fun of me for being fat  thankstotrump america,1
141,overthinking everything in life really takes a toll on you,1
142,man i just love it when i am forced to pitch two games back to back bc our other pitcher didnt show up,1
143,i’ve seen a lot of people on local facebook groups asking airbnb owners if they have any availability recently if only there was a website you could use to find out if an airbnb was available ,1
144,but what were the ratings replied to his tweet with the same thing,1
145,dont you love it when youre just chilling in your room and then theres a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too,1
146,i think it should be allowed for customer service workers to squirt water into their face like how they do sometimes to train pets,1
147,taxes are just the best and i cannot wait to pay more ,1
148,goodness my parents are actually watching something on apple tv brilliant yet another streaming service ,1
149,alright i’m ready for some march madness,1
150,i still can’t believe england won the world cup,1
151,dont u just love when u get ready for a cancelled date two hours early    yeah i wasnt excited or anything,1
152,wouldn’t it be cool if i could spontaneously combust,1
153,efy is great,1
154,you’re trash,1
155,cold queso is so much better than warm queso,1
156,wow it is almost as if it is their literal job to have a lot of knowledge about a wide array of subjects funny that,1
157,it’s really very selfish of silverstone to be saying the 2022 grand prix is 1737 cause my holiday year starts on 17 and i would have to use a day of this years holiday allowance to go i should have been consulted really ‍‍‍,1
158,are you experiencing suicidal or homicidal ideation only while trying to talk to a human when i call pharmacy,1
159,just getting some wd40 on my letter box to help the poor postman with his delivery today valentinesday2021 wd40,1
160,i’m sorry but if you message me on instagram wanting me to help you sell your fit tea and wraps i’m leaving you on read ,1
161,wow i love only ever buying gray and striped shirts,1
162,no more instagram we must all return to scrapbooks,1
163,thank you twitter for deciding to completely reset your list of the suggested topics to follow i have clicked to ignore all of them so now i am back to seeing hundreds of them every time really appreciate you doing that,1
164,thank god i just accidentally snapped a rando guy from high school ‘yas queen’ with acne cream all over my face,1
165,i hurt my foot like 3 days ago i have no idea how but it hurts to put pressure on it love that for me,1
166,me trying to sleep slightly earlier than usual bc i feel like shit my friend texting the group chat 13 separate times at nearly 4am hello i don’t think so how abt i tell u abt how bad things are going instead ,1
167,thank you to my apartment complex for consistently cutting the grass at 8 am every thursday for 5 hours it’s definitely not super obnoxious or bothersome ,1
168,530 bansheelike kitten zoomies are definitely my alltime favorite alarm clock and the sound of jewelry boxes flipping over and burnouts on the wood floor make for the calmest most enjoyable start to any workday,1
169,sometimes i feel like all this effort is just like sticking diamond encrusted alloys on a knackered corsa i mean shit is what it is at the end of the day,1
170,a single man directed by tom ford simultaneously resurrected me from death only to brutally murder me once more,1
171,hey siri how do i stop simping,1
172,we love mixed signals,1
173,hey does anyone know of any organizations that have massive stockpiles of money that could be super useful to the world during a public crisis,1
174,wow bdubs can bench press 150 kilometers,1
175,nothing screams “i’m a glamorous cosmopolitan woman” like following your dog down the street in the midst of winter saying “go potty go potty” over and over again,1
176,heard a rumor that baja blast is coming to stores and regardless if anything else i hope for in life falls through at least i will have this,1
177,reviewer 2 this is a very weak paper that fails proof of concept stating a cat bed is also a wizards hat is totally wrong and your data cannot support this,1
178,a wrong impression is once again my specialty,1
179,if trees would simply stop producing flammable leaves climate change would not be an issue,1
180,haven’t written in months cuz there are no male teachers to impress ,1
181,hey quick question is it fall or spring,1
182,when the toilet seat is warmed up for yougtgtgt,1
183,nice,1
184,me and noah forgot that today is our anniversary if that isn’t couple goals then idk what is ,1
185,i can’t wait to hear more about the life of an upper middle class east asian american whose only personality trait is drinking boba tea,1
186,hey what is the weather like today am i going to need an umbrella,1
187,trying to figure out how to use notion for my anime list i think i’m dying,1
188,do you think anyone on bachelor in paradise has seen oscar winner parasite,1
189,your pronouns are what is in your pants ok juicydumper,1
190,it’s so amazing how people forget you exist until they want something from you ,1
191,2 things i love 1 being woken up by construction work an hour before my alarm 2 sarcasm,1
192,how bout you dont use a gazillion filters on your pictures,1
193,finished the queens gambit i loved a look into the 1960s in the american south with no racism just vibes,1
194,wow it’s almost like we don’t nap every single day at the exact same time wow how dare i try to do the thing we do every single day,1
195,nah bruh you just drinking it upside down ,1
196,easily one of the worst and most damaging takes for both trans and cis women i have seen thus far congrats on reaching new levels of awful lmao,1
197,i thing you might be on to somethink,1
198,here comes the final of the uk dailybriefing  who will win johnson or covid,1
199,you are not a normal white girl lol ok,1
200,great time for sim and i to have our weekly life update  closest thing to an owl ,1
201,i love when you go to shop for plus size clothing and it is always just shoved under womens and it doesnt have any subcategories so u just have to wade thru everything like a pig being thrown slop,1
202,you have a book out i hadnt realised yes you have already read this 8763 times this week but hey,1
203,hahahah is shutting down the entire campus for quarantine couldn’t happen to a nicer group of covid deniers covidisnotover karmaisabitch covid_19,1
204,brothers off on a night out and i have gone to bed cos i feel exhausted and sick excellent ,1
205,“the app store [is] an economic miracle”  but apple magic not working today at antitrusthearings apple stifles innovation that is the lifeblood of our economy lucy mcbath speaking some truth today housejudiciary,1
206,i love how they blur out tristan’s face in this season of the kardashians lmao like hmmmm i wonder who that mysterious man is,1
207,in sunny spain at the moment hows it all in england,1
208,my super power is always biting into the sour cream side of the burrito no matter what,1
209,if you display your pop funkos in the box then you’re a tory,1
210,happybirthdaykeanureeves keanu reeves is so wholesome ,1
211,don’t worry 20 something people who follow me here i brushed my hair for the first time in a week today i know impressive,1
212,and with a plentiful supply of rhubarb,1
213,hearing kendrick perkins refer to alec burks as alecs burk like he’s attorneys general gtgtgtgt,1
214,wait didn’t covid go away it’s after november third so it definitely should be gone nowwaiti’m confused121000 cases in a day you’re telling me the whole world didn’t fake a pandemic for the us election no way,1
215,we really need to remind people that universal healthcare means never needing to sit through another annual explanation of benefits meeting,1
216,wow i left on time today and the airport connector is all the way backed up love that,1
217,maybe i am a cyber bully,1
218,elliekonsker florida you literally have one job,1
219,andrews really trying to explain to me that football and rupauls drag race aren’t the same thing when it in fact is the same thing,1
220,day 5 of people being mad about ellen sitting by gw bush is when we will finally get to the bottom of this,1
221,cool guy in a big truck honked really long at the garbage truck because it slowed down to turn i felt he wanted everyone to know how cool he is so i decided to tweet about it on his behalf,1
222,not olivia rodrigo traitor in the background loveisland,1
223,i’ve never had protected sex,1
224,duodenum jejunum and ilium would be cute names for triplets don’t me,1
225,only yelled at one person while biking home this evening improvement,1
226,taylorswift13 is 100 going to post another photo with 5 holes in a fence 5 days before lover is released isn’t she,1
227,the fact that “breaking school shootings preventable” was an actual headline on nbc tonight is actually laughable,1
228,i love when i start choking on my water in my 8 person class,1
229,whoop diddy scoop poop,1
230,mr shatner whilst you were sleeping you asked me to join facebook messenger and then after a polite conversation you then offered me gold necklaces and a singed sic teeshirt  you made my friday night sir just awaiting your instructions so i can wire the money,1
231,is it illegal to discriminate against someone on the basis that they have a joker tattoo,1
232,it’s been 20 hours and i want another chai latte with pumpkin cold foam i can’t afford this,1
233,it would be a real shame if people shared this around and filled it with fake info people should definitely not do that ,1
234,well done henri cost us the win nffc,1
235,i love not being pregnant so much it’s my fave thing about myself,1
236,buy really rare pokemon card,1
237,you like ketchup but not tomatoes grow up,1
238,big day in the mumford house sports day,1
239,you are a right bundle of laughs to take to the pictures draft,1
240,“if i could have changed anything about my childhood i would have never watched spongebob” no one,1
241,bbcqt it sure would be nice if ms may decided to answer a question rather than dance readily around it,1
242,does anyone not know prince harry got engaged i don’t think there’s been enough in the news about it,1
243,make your husband agree to let you die first fun date topic for discussion,1
244,im ollie im 58 and i think my 57 boyfriend is short,1
245,tonight dinner i sat by amp chatted w the former chancellor of ole miss a former miss ms amp the owner of the miss america pageant casual,1
246,wow this growth spurt is really taking longer than i thought haha,1
247,quarantine day 256 dear ancient greeks re the blanketwearing—i get it quarantinelife,1
248,my bf took my off his lock screen which obvi means he’s cheating on me,1
249,gonna go cry now some no face told me to lose weight x,1
250,margaret thatcher is trending has 2016 taken another one,1
251,hear me out the lyrics in coney island should have been lost again with no surprises disappointments close your eyeses fixed it for you  evermorealbum,1
252,at least half of my days are still bad days and let me tell you i have never once killed 8 people because of it a true miracle apparently,1
253,of course the moment i front the system is in utter chaos ,1
254,day 38 of quarantine is an interesting time to get a new drum kit neighbor,1
255,hate this site [chirpbirdicon],1
256,did you know there is a direct correlation with how cool someone is and how high they cuff their pants,1
257,would love a cheeky mcdonald’s breakfast before a busy day at work would set the day off on the right foot   fancyamcdonalds,1
258,i swear this triller event is run by teenagers,1
259,what kind of sins have y’all been committing for god to punish us with this kinda weather,1
260,i’m really looking forward to not hugging my friends and family through choice rather than by law,1
261,men will literally fake an injury on the football field instead of going to therapy,1
262,i do not think republicans have any self awareness or any idea of how the world works nice try though,1
263,there is not enough people here ivoryrooms,1
264,i love online shopping because if i am physically in a store and an employee even looks at me i will immediately leave,1
265,who let the laundry pile up 5 baskets goodness,1
266,boehner not clapping for gender pay equality cool,1
267,drop in center to let people get the 1st or 2nd vaccine open today  i went thinking i was able to get my 2nd one  wait in the que 30 mins sits down arm ready to get  sorry your 12hrs to early  we cannot vacinate you till 56 days  seriously,1
268,i am concerned about the environmental impact of my contact lenses says the occasional daily wearer throwing their starbucks cup in the test room bin,1
269,shout out james boswell unibowl,1
270,surely you’re not suggesting that their own thorough investigation of their own suspected ltfraudgt which found no evidence for said ltfraudgt was carried out with anything but the very highest levels of integrity seems completely legit to me…,1
271,say swear you didn’t down all bev’s at acapulco’s straight after ,1
272,i got called ugly on twitter by an uneducated teen who refuses to show his face i’m gonna cry myself to sleep i’m in gut wrenching pain,1
273,it’s true every time my little cousins put on their masks they choke to death and have to be revived it’s very stressful for us,1
274,just dislocated my fucking knee again while out on a walk  fab,1
275,headaches that last all day nonstop,1
276,pissed off at and just want out of my contract but i am sure that would just be way too easy ugh ,1
277,football is turning into an anatomy lesson cool,1
278,ah yes people with eating disorders famous for easily being able to not worry about their weight,1
279,as if i didnt know this anyway i am an owl according to the bbcbodyclock quiz – what are you,1
280,i would kill a man for a forehead kiss rn,1
281,mental shoot out ends silent pause sirens start  always so perfectly timed  lineofduty lineofduty6 lod6 lod,1
282,love being called the devil for taking away someone’s phone at summer school,1
283,everyone pls stop shooting fireworks my dog is scared ,1
284,i love days when rob works short call and is only at the hospital for checks watch 13 hours,1
285,worst timeline,1
286,thanks for disrupting your narrative continuity with commercial break previews spoileralert,1
287,i love how i literally just finished watching the fifth hp film and then turned to my mum and said love a good bit of character death on a sunday  the dsmp lore has utterly ruined my attachment to characters and how i see stories now i am a broken woman,1
288,i went outside today and suddenly my depression is cured,1
289,can’t wait to be back at uni so i can order more shoes and clothes without my mum telling me off x,1
290,love when the train stops in philly and everybody boards and of a sudden it smells like a ham sandwich,1
291,thanks for not informing me that my click and collect order had been cancelled when my account says it is ready to collect my partner has had to travel unnecessarily to stafford and we still do not have our shopping good diet i guess having to wait for my 26th delivery slot,1
292,my dream is to be left alone,1
293,shocked how am i supposed to tell the kids they are not going to disneyland on june 21st after all it is already been cancelled 36 times,1
294,oh really,1
295,we happy,1
296,first day of work and i’ve already cried on the job ,1
297,the fact i nearly froze on my way to work this morning is definitely a sign it is not summer anymore freezing,1
298,damn imagine being vaxxed and then getting a cold and then losing your taste and smell oh wait,1
299,is this first cybex isokinetic dynamometer prs2021,1
300,how you gonna ask me how i’m doing “on this fine labor day” while you’re off as i’m ringing you out on labor day how do you think i am ,1
301,apparently it’s national siblings day idgaf ,1
302,worked out 2 days in a row i am quite literally the epitome of health and fitness,1
303,yes i have little interest in doing things that applies to me,1
304,if you ever wanted to know what it feels like to have dyslexia i would recommend the book house of leaves,1
305,i know right he even wanted poor people to be healthy because he was basically a fucking communist what a hippie,1
306,lets listen to dylan petit over actually doctors biologists and epidemiologists ,1
307,do not let people walk all over you or breathe on you either one,1
308,kepa had a great game,1
309,i am starting off my day by watching a dragons den special on deborah meaden and eating a pot noodle my life is perfect,1
310,well done with the better coaching now available can we expect a decent wee victory tomorrow ,1
311,michael saylor is efficient in his line of questioning feels like more an interrogation ,1
312,i would like to thank middle aged men watching the olympics for solving the mental health crisis getting someone to shout get some perspective at every athlete struggling with anxiety will definitely solve their problem,1
313,does ur dad hate you for no reason or are you normal,1
314,i miss walking up 3 flights of stairs for class and having to catch my breath in the bathroom ,1
315,this is my 3rd time taking a biology course and it’s so easy wow i love biology so much i’m so glad i’m so good at this subject,1
316,hot dog eating contest as a form of assisted suicide,1
317,being 20 years old and going to concerts with my mom means i can scream all the nono lyrics bc im an adult,1
318,it would be nice if missguided actually had stock for once,1
319,first game not starting when it is supposed to a ucf tradition,1
320,having a bad week but what else is new at least i finally got paid ,1
321,im about to just walk into a place and start working then and there and they will have no choice but to hire me on the spot,1
322,just stuck my entire hand in a hot oven without thinking about the consequences self preservation is clearly my strong suit,1
323,turnover is the best band to cry todrive todaydream tofall asleep to reminisce todie to,1
324,congratulations to trump on his second impeachment it’s a tremendous achievement borne of hard work focus and dedication record breaking historic bigly impeachmentday trumpimpeachment2,1
325,yeah i enjoy some oregano on a nice pasta dinner dumps oregano on mac n cheese,1
326,everytime i swipe through bumble when i’m bored i just get sad that no one has the same complex interests as me…rude  j,1
327,sitting next to the worlds loudest mouthbreather on the first day of class did a really good job of demystifying grad school for me today,1
328,every date i go on i get a little scared will be phone swap,1
329,nothing warms my heart more than seeing everybody come together and attack westside’s administration  wycopride yeeyee,1
330,blatantly obvious that lionel messi is now set for a move to leeds the newell’s old boys network,1
331,can’t wait to get home take a big ass antihistamine and roll in some topical steroids damn it skin what did i ever do to you,1
332,“tit for tat butter for fat you kill my dog i eat your cat” is a liberian proverb for “an eye for an eye” my ancestors were spittin’,1
333,aware she was not a tennis player when she left canada at 2 yrs old aware she did not pick up a tennis racket until 6 years oldaware last12 years trained at the same tennis club in bromley kent englandthe girl is british no haters or doubters will take that away from her,1
334,was not aware that crocs were appropriate business casual attire,1
335,on a scale from 1 to 10 how deeply was your childhood influenced by the hannah montana 2 meet miley cyrus double album this is for research purposes,1
336,oh you are a real anime fan name all the boku no pico characters i will wait,1
337,based confidence and believing in proper eye contactpilled,1
338,replace pelosi nancy,1
339,oh sure the mic’d up pitcher at the mlb allstar game can say “god dammit” but when my 13 year old softball player says it she gets a “language warning” ,1
340,one of them smonks weed so it is super worth it s,1
341,sureeeeeee you do,1
342,bart is closed rn in oakland so i can’t go to work i’m so upset,1
343,just redownloaded the app  lets see if it improves my exercise routine,1
344,just signed up for apples ping told it i like classical and it points me towards lady gaga it takes a certain genius to be this crap,1
345,i’m going to cut off contact with every single person i know and emerge in a few months o a year from now having lost the ability to physically speak but be able to play the meanest fucking accordion you’ve ever heard in your pathetic little life,1
346,it’s funny that you guys thought sports mattered during a pandemic i simply can not imagine caring about a winning streak rn,1
347,ah yes of the course the summer rain pours when im on foot,1
348,keanu reeves is killing his role in ozark season 3,1
349,getting stopped by tesco security is the highlight of my day,1
350,yay for being locked out of your own house because you forgot your key,1
351,craving an ice pick lobotomy on this friday afternoon,1
352,my favorite thing about my grandparents is that they are so afraid to talk about me being gay that our catch up phone calls are incredibly short ,1
353,my coworkers play this fun game where they try to describe bars in la crosse amp have me guess which one they’re talking about,1
354,the fairweather fans in all of these threads wake up call fleury is a human being surprise,1
355,whoa that is a little too crazy man slow down,1
356,wow liam neeson is coming across as a rational manisnt he,1
357,no joke airfried twisted teas are the best,1
358,i find it hilarious that ‘black and white’ or ‘all or nothing’ thinking is considered a cognitive distortion and is a symptom of several disorders and yet it remains a pillar of american and western culture it’s almost like… our culture is toxic ,1
359,it would be nice if my body would let me sleep,1
360,so worried about him but if you are looking to save him based on the topography i would say it is somewhere on the east coast perhaps the carolinas,1
361,all the shade i have been hearing about ben platt being unbelievable as a teenager in the movie boggles me does nobody have any memories of grease name 1 actor on that film who believably looked high school age,1
362,drum and bass is dangerous stuff do not you know fabricreview ,1
363,the manliest thing i can think of is when the men from the world cup passionately sing their national anthem,1
364,love a good cry ,1
365,perfect way to end a 2 hour deley getting stuck on the tarmack at waiting to go to a gate for almost an hour ,1
366,if your website still has a google plus share button forgive me if i’m not tripping over myself to take your information as credible or current,1
367,it is too bad i forgot how to play my clarinet so close to my recital,1
368,but clintons emails oh emm fucking gee clintons god damnèd emails the humanity of it all ,1
369,crispy all day every day over here ,1
370,yes the racist is so cool,1
371,putting the toilet paper roll on so that it hangs under instead of over is a crime worthy of the death penalty,1
372,synthwave communities really love pessimism do not they haha any upbeat energy and people get upset at ya,1
373,but how can we possibly deal with a human experience we havent first relentlessly quantified,1
374,the drew barrymore show is an absolute trainwreck like the tony danza show every two minutes is a clip for the soup,1
375,it is soooo great that i have taken pain medication and my back is still hurting ,1
376,turned 25 today but woke up with 600 from the irs in my bank account so quarter life crisis has been postponed,1
377,only a a president as strong and decisive as would force the fda to ok a drug even before clinical trial results are in no need to wait for such silly formalities  people have been taking the drug for years and most are still alive and fine oktotry gotrump,1
378,i reverse imaged searched a selfie and it under visually similar images it is exclusively asian woman my am i white passing narrative is quaking,1
379,also that jacket he wore yesterday i’m gonna rip my eyes out ,1
380,despicable tweet my liege,1
381,lovely day to be stuck at the mall with a dead battery,1
382,so now that it is not getting banned should i download tiktok,1
383,horse dancing is my new favorite olympic sport i have no clue what’s happening but this is incredible,1
384,i just love when twitter decides to reload the timeline seconds after you just opened it up and are in the middle of reading it,1
385,somebody tell these birds to be quiet because they not listening to me,1
386,this bruh rly told me “ur anger issues are my playground” so uhh hmu if u wana be friends bc i need new ones k thx,1
387,this just in phobias can be chosen and you can get rid of them by just not being scared  s,1
388,every time i send my mom pictures of me and one of my friends doing fun things the first question she asks is if we are on a date what are you trying to tell me mother,1
389,are gofundme accounts a form of socialism i don’t have enough money to pay my bills so let me create an account an ask for money to help pay my bills ,1
390,not to alarm anyone but i just saw spiderman by uta,1
391,tell the liverpool players to get some beers and just sit on the grass for the full 90 mins let leeds score as many goals as they want notoeuropeansuperleague,1
392,omg thank u for pointing out that i apologize too much ,1
393,imagine not liking football ,1
394,arent you happy i gave you less competition for ranking,1
395,my dad just said to me “hey you’re kinda skinny can you slip behind the fridge to look at something” and it might be the nicest compliment i’ve ever gotten so guys go tell your girl you think she’s kinda skinny,1
